t	Pre-Clamp(Right-Femoral)	Post-Clamp	Pre-Clamp(Left-Femoral)	Post-Clamp
0.00	77.83	75.03	86.56	85.07
0.01	77.93	75.31	86.65	85.35
0.02	78.23	75.56	87.11	85.70
0.03	79.06	76.16	88.09	86.62
0.04	80.07	77.12	89.81	88.16
0.05	81.65	79.18	92.39	90.55
0.06	83.83	81.52	95.58	93.79
0.07	86.53	84.36	99.25	97.55
0.08	89.43	87.27	103.27	101.85
0.09	92.65	90.34	107.35	106.51
0.10	95.81	93.23	111.64	110.80
0.11	99.06	96.33	115.66	115.15
0.12	101.93	98.99	119.26	118.91
0.13	104.62	101.82	122.65	122.47
0.14	106.90	104.05	125.54	125.51
0.15	108.89	105.68	128.04	128.15
0.16	110.54	107.39	130.23	130.22
0.17	112.04	108.50	132.21	131.95
0.18	113.08	109.24	133.84	133.29
0.19	113.95	109.90	134.88	134.38
0.20	114.62	110.47	135.59	135.15
0.21	115.10	110.96	136.16	135.73
0.22	115.60	111.19	136.55	135.95
0.23	115.98	111.36	136.68	136.10
0.24	116.24	111.40	136.55	135.83
0.25	116.27	111.40	136.30	135.66
0.26	116.19	111.11	135.79	135.04
0.27	115.83	110.90	135.24	134.27
0.28	115.39	110.36	134.32	133.49
0.29	114.75	109.69	133.35	132.39
0.30	113.98	108.64	132.01	131.11
0.31	113.03	107.36	130.57	129.63
0.32	111.98	106.00	128.72	127.98
0.33	110.70	104.52	126.62	126.44
0.34	109.29	102.94	124.27	124.50
0.35	107.81	101.55	122.07	122.56
0.36	106.32	100.02	119.68	120.44
0.37	104.85	98.73	117.54	118.42
0.38	103.40	97.30	115.47	116.28
0.39	102.15	96.17	113.73	114.37
0.40	100.86	94.97	112.04	112.63
0.41	99.84	93.97	110.77	111.04
0.42	98.83	93.09	109.49	109.57
0.43	98.07	92.37	108.52	108.49
0.44	97.20	91.63	107.66	107.29
0.45	96.56	91.10	106.92	106.48
0.46	95.82	90.52	106.35	105.79
0.47	95.28	90.12	105.70	105.28
0.48	94.72	89.62	105.28	104.69
0.49	94.32	89.29	104.87	104.35
0.50	93.71	88.91	104.40	103.87
0.51	93.29	88.38	104.15	103.58
0.52	92.80	88.09	103.72	103.15
0.53	92.38	87.67	103.48	102.76
0.54	91.88	87.30	103.04	102.49
0.55	91.51	86.90	102.76	102.07
0.56	91.04	86.52	102.26	101.73
0.57	90.75	86.21	101.98	101.29
0.58	90.34	85.79	101.46	100.95
0.59	89.96	85.52	101.18	100.53
0.60	89.68	85.08	100.72	100.10
0.61	89.34	84.87	100.44	99.73
0.62	88.98	84.46	99.91	99.21
0.63	88.66	84.23	99.62	98.93
0.64	88.33	83.92	99.10	98.50
0.65	88.01	83.67	98.75	98.18
0.66	87.65	83.40	98.26	97.77
0.67	87.25	83.19	97.95	97.24
0.68	86.96	82.84	97.45	96.91
0.69	86.60	82.65	97.08	96.50
0.70	86.24	82.33	96.63	96.05
0.71	85.95	82.10	96.23	95.69
0.72	85.61	81.84	95.71	95.23
0.73	85.29	81.64	95.28	94.77
0.74	84.92	81.39	94.82	94.41
0.75	84.54	81.09	94.51	94.00
0.76	84.20	80.83	93.98	93.50
0.77	83.88	80.61	93.66	93.12
0.78	83.51	80.27	93.21	92.58
0.79	83.19	79.97	92.90	92.30
0.80	82.84	79.71	92.53	91.73
0.81	82.54	79.48	92.22	91.49
0.82	82.17	79.14	91.77	90.96
0.83	81.90	78.97	91.54	90.65
0.84	81.56	78.68	91.18	90.28
0.85	81.29	78.47	90.96	90.01
0.86	81.04	78.17	90.58	89.60
0.87	80.80	77.99	90.28	89.25
0.88	80.53	77.70	89.99	88.88
0.89	80.35	77.59	89.65	88.56
0.90	80.10	77.25	89.50	88.29
0.91	79.80	77.13	89.15	87.99
0.92	79.58	76.81	88.88	87.80
0.93	79.34	76.62	88.60	87.57
0.94	79.06	76.25	88.29	87.30
0.95	78.85	76.14	88.03	87.08
0.96	78.60	75.76	87.78	86.83
0.97	78.54	75.63	87.55	86.48
0.98	78.36	75.33	87.33	86.25
0.99	78.24	75.24	87.11	86.09
1.00	78.10	74.99	86.85	85.72
1.01	78.05			85.58
1.02	77.96			85.59
1.03				85.54
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
